人,岗位,金额,日期,类型
研发_员工2,研发,155.82,2026-05-02,招待费
研发_员工2,研发,208.12,2026-05-15,招待费
研发_员工3,研发,107.88,2026-02-04,招待费
研发_员工3,研发,130.34,2026-03-06,招待费
研发_员工3,研发,167.77,2026-01-02,招待费
研发_员工3,研发,165.66,2026-03-18,招待费
研发_员工3,研发,65.08,2026-01-18,招待费
研发_员工3,研发,124.76,2026-02-20,招待费
研发_员工3,研发,140.32,2026-03-19,招待费
研发_员工3,研发,174.24,2026-04-16,招待费
研发_员工4,研发,165.45,2026-05-25,招待费
研发_员工4,研发,145.53,2026-02-07,招待费
研发_员工4,研发,34.87,2026-02-12,招待费
研发_员工4,研发,148.41,2026-01-06,招待费
研发_员工4,研发,153.61,2026-01-08,招待费
研发_员工4,研发,297.79,2026-02-11,招待费
研发_员工4,研发,138.46,2026-01-22,招待费
研发_员工4,研发,168.09,2026-03-15,招待费
研发_员工5,研发,218.57,2026-02-05,招待费
研发_员工5,研发,195.12,2026-04-20,招待费
研发_员工5,研发,234.17,2026-04-06,招待费
研发_员工5,研发,65.89,2026-03-22,招待费
研发_员工5,研发,90.57,2026-01-07,招待费
研发_员工5,研发,116.02,2026-03-30,招待费
研发_员工5,研发,56.96,2026-04-07,招待费
研发_员工5,研发,154.11,2026-01-27,招待费
行政_员工1,行政,63.22,2026-05-21,招待费
行政_员工1,行政,162.0,2026-01-21,招待费
行政_员工1,行政,68.67,2026-05-19,招待费
行政_员工1,行政,87.12,2026-05-12,招待费
行政_员工1,行政,132.54,2026-05-03,招待费
行政_员工1,行政,50.77,2026-03-25,招待费
行政_员工1,行政,35.7,2026-01-14,招待费
行政_员工1,行政,107.39,2026-05-15,招待费
行政_员工2,行政,110.4,2026-02-20,招待费
行政_员工2,行政,131.27,2026-02-22,招待费
行政_员工2,行政,120.88,2026-05-14,招待费
行政_员工2,行政,111.88,2026-04-27,招待费
行政_员工2,行政,72.8,2026-01-25,招待费
行政_员工2,行政,109.29,2026-05-15,招待费
行政_员工2,行政,111.72,2026-01-01,招待费
行政_员工2,行政,71.43,2026-01-25,招待费
行政_员工3,行政,174.63,2026-04-08,招待费
行政_员工3,行政,118.95,2026-02-03,招待费
行政_员工3,行政,61.01,2026-02-18,招待费
行政_员工3,行政,131.48,2026-04-22,招待费
行政_员工3,行政,138.54,2026-04-09,招待费
行政_员工3,行政,116.51,2026-03-27,招待费
行政_员工3,行政,90.18,2026-02-09,招待费
行政_员工3,行政,69.85,2026-02-06,招待费
行政_员工4,行政,96.92,2026-05-14,招待费
行政_员工4,行政,113.65,2026-04-05,招待费
行政_员工4,行政,100.52,2026-03-28,招待费
行政_员工4,行政,158.14,2026-03-15,招待费
行政_员工4,行政,125.03,2026-02-12,招待费
行政_员工4,行政,65.71,2026-01-04,招待费
行政_员工4,行政,57.16,2026-05-22,招待费
行政_员工4,行政,119.3,2026-05-24,招待费
行政_员工5,行政,91.06,2026-01-03,招待费
行政_员工5,行政,128.56,2026-05-20,招待费
行政_员工5,行政,118.93,2026-05-25,招待费
行政_员工5,行政,97.09,2026-05-08,招待费
行政_员工5,行政,66.13,2026-05-08,招待费
行政_员工5,行政,39.41,2026-02-17,招待费
行政_员工5,行政,108.56,2026-05-21,招待费
行政_员工5,行政,50.17,2026-04-15,招待费
销售_员工1,销售,4899.04,2026-03-01,招待费
销售_员工1,销售,4568.02,2026-03-11,招待费
销售_员工1,销售,4930.51,2026-03-21,招待费
研发_员工3,研发,1997.22,2026-02-01,招待费
研发_员工3,研发,1930.93,2026-02-08,招待费
研发_员工3,研发,1960.43,2026-02-15,招待费
研发_员工3,研发,1988.44,2026-02-22,招待费
研发_员工3,研发,1977.78,2026-03-01,招待费
研发_员工3,研发,1974.37,2026-03-08,招待费
行政_员工2,行政,129.17,2026-04-01,招待费
行政_员工2,行政,105.16,2026-04-03,招待费
行政_员工2,行政,100.55,2026-04-05,招待费
行政_员工2,行政,136.66,2026-04-07,招待费
行政_员工2,行政,136.71,2026-04-09,招待费
行政_员工2,行政,140.7,2026-04-11,招待费
行政_员工2,行政,143.93,2026-04-13,招待费
行政_员工2,行政,115.79,2026-04-15,招待费
行政_员工2,行政,115.11,2026-04-17,招待费
行政_员工2,行政,135.88,2026-04-19,招待费
